term	ttf	df
distance 	146015909	7992823
allfields:1 	146007139	8832683
allfieldsProper:1 	146007139	8832683
technical 	145796139	6549695
japan 	145638190	4688035
1992 	145610356	3217936
1962 	145414864	5514884
machine 	145290102	6044868
爲 	145273003	362403
performance 	145266904	6255115
hill 	145199583	7563348
112 	145166505	12450516
cl 	145018301	5825220
forces 	144962574	7494950
社会 	144957110	560851
140 	144936907	12125627
rest 	144849533	9233127
とも 	144828155	518926
leave 	144766088	7378868
importance 	144731459	8916179
hold 	144725871	8335749
payment 	144461630	4734610
claims 	144341851	5523079
109 	144293490	12480163
southern 	144234216	6417603
系 	144186816	1094893
description 	144015377	8304739
stage 	143866735	7562068
动 	143836995	422192
aid 	143821423	7775792
nation 	143715780	8603141
needs 	143677164	7411475
во 	143626863	1014426
路 	143602315	1140189
requirements 	143582667	6173591
bonds 	143524577	4157715
records 	143460221	6791697
器 	143449524	1132125
music 	143123021	4857304
produce 	143011187	8428169
hope 	143008261	7360323
pl 	142954411	4861024
gives 	142850857	7967974
qu'on 	142804117	1988207
consider 	142525842	7666271
とか 	142514988	505262
employed 	142509318	7166256
已 	142492906	865815
司 	142411121	1124454
光 	142402927	1146546
具 	142361398	1141027
spring 	142279511	7412787
hard 	142261562	8217984
真 	142212380	1061262
allfieldsProper:pdus 	142093689	3427600
allfields:pdus 	142093689	3427600
會 	142077794	623102
未 	142063965	1131366
places 	141851893	8746527
sufficient 	141836935	7615949
exchange 	141724958	6549484
turn 	141651105	8394901
factors 	141647340	6297772
units 	141620602	5318704
語 	141423841	832338
より 	141266478	526230
ナ 	141247625	598691
bar 	141197961	9525033
joint 	141174143	7072124
160 	141090810	11728449
nella 	141079333	1394915
toutes 	140983486	2182958
germany 	140968855	5459314
校 	140865989	1105808
story 	140785077	6281357
mother 	140780337	5736226
直 	140760252	1153110
peace 	140711414	5567444
ihrer 	140596821	2198876
pays 	140579575	5509185
实 	140551224	542129
scale 	140428299	7331006
articles 	140395851	7095237
dollars 	140393512	4828629
none 	140320464	7966719
beginning 	140315051	8301899
expected 	140294153	7737139
balance 	140252125	7824295
demand 	140141775	6792789
hour 	140140163	6921308
з 	140088798	1163628
consideration 	139783694	8120995
fast 	139688424	8093485
初 	139678420	1164750
経 	139584625	560336
軍 	139372003	845739
jean 	139143420	5359146
judge 	139016938	5720855
113 	139014904	12349737
capacity 	138996441	6847578
prepared 	138881999	8043431
notre 	138850126	3076786
considerable 	138769294	8714011
alone 	138599102	7876765
longer 	138527217	8275782
previous 	138400623	7905056
collection 	138397539	8422379
进 	138308756	449334
程 	138283887	1104292
todo 	138275737	1725961
dal 	138241667	3281259
active 	138208889	8215431
求 	138155570	1123945
nombre 	138040500	2975915
seven 	138033092	8093107
lands 	138023858	6079322
followed 	137994736	8075325
著 	137975165	1128599
dieses 	137967385	1936618
particularly 	137964855	7735828
07 	137930758	5574770
121 	137919940	12440946
х 	137892609	1127108
eight 	137884539	7810658
chem 	137710704	2804214
culture 	137588195	6536967
かあ 	137572498	508806
china 	137531930	5626107
兵 	137472870	1083938
sources 	137379071	8377765
royal 	137325319	6817585
pass 	137241521	8074742
sera 	137230633	4004733
facts 	137167790	6644727
corps 	136953370	5032053
 	136882259	600162
1993 	136853306	3020293
contre 	136787601	2417079
付 	136639423	1099482
mentioned 	136634217	7538627
basic 	136435488	6064569
began 	136365245	7160138
180 	136342852	11504481
mal 	136272213	8216057
种 	136240633	577587
ments 	136223087	8838918
th 	135948169	8445408
outside 	135927226	7932224
difficult 	135922933	7914611
來 	135895847	569734
fish 	135832238	5360358
ます 	135825524	521392
600 	135652328	8887205
movement 	135592263	6853129
entitled 	135526738	5612436
larger 	135500024	7793014
ho 	135418485	8616611
門 	135259610	864188
bd 	135154498	3425297
たと 	135074371	486185
levels 	135051313	5409607
1959 	135047151	5471389
fair 	135019617	7316109
tell 	135012344	6635443
那 	134978565	995403
live 	134800124	7673648
1958 	134729964	5491477
116 	134648577	12079656
eyes 	134641645	5777917
primary 	134635360	6657985
ben 	134607232	6943947
xi 	134527222	9879546
cal 	134508186	8314728
設 	134315681	825057
eu 	134311685	6080876
にお 	134254213	506124
motor 	134253772	4791960
literature 	134241235	6722612
determine 	134219171	8328071
gr 	134207607	4897464
beyond 	134123528	8132741
earth 	134079478	6238477
1995 	133939529	2945000
チ 	133917733	613315
調 	133916622	863723
religion 	133852124	6495452
朝 	133824362	1132018
contact 	133730333	7425075
dies 	133687344	6247059
died 	133674106	5614013
planning 	133629801	5122708
進 	133591235	858504
grant 	133584816	6873291
ml 	133312592	4962706
associated 	133291993	6982467
throughout 	133255861	8114507
題 	133213230	860412
1994 	133137261	2874885
muss 	133123974	2196102
mark 	132958617	8599838
sections 	132837571	7019631
义 	132772413	668642
involved 	132722493	7316627
allfields:and 	132571307	10439695
allfieldsProper:and 	132570421	10439377
cu 	132501238	5798060
武 	132253239	1127652
白 	132145514	1146173
letters 	132141925	6648006
bring 	132080274	7890285
800 	132048264	8155123
boston 	132019275	5614063
properties 	131808263	5099059
papers 	131602578	6837580
cet 	131509087	2726902
approach 	131405301	7354435
私 	131283382	1104366
114 	131264426	12235046
significant 	131246884	6651896
response 	131224827	6076136
factor 	131128685	7029331
zwei 	131051590	2201457
entire 	131034688	7768937
strength 	130967906	6869019
sr 	130951561	5433503
ける 	130682214	513021
wall 	130653395	6998548
centre 	130574297	6182559
toward 	130426074	6681504
progress 	130391437	7707807
require 	130381892	7340528
toute 	130331695	2188608
quelques 	130199093	2406293
藏 	130190905	791640
immer 	130152420	2246878
郎 	130115142	1048833
但 	130106553	991996
ans 	130050101	4889385
円 	130014654	706266
企 	129954938	966933
tons 	129923639	4538759
118 	129794624	12094429
122 	129777263	12294745
cap 	129736237	7093034
technology 	129703616	4091363
filed 	129576600	2951999
fl 	129548845	6158191
117 	129501018	12392714
fixed 	129471928	7158373
切 	129445157	1136763
格 	129305528	1124857
存 	129020125	1125899
news 	128945607	6179874
ago 	128863094	7848457
likely 	128775674	7358527
reaction 	128772641	5516776
constant 	128723637	8370551
resolution 	128568997	6023190
съ 	128501078	229661
celui 	128418671	2003903
reduced 	128396611	7341625
l'on 	128395866	1975422
plaintiff 	128388420	1006293
safety 	128344384	5833071
1957 	128343516	5458004
seem 	128324881	7445785
celle 	128287115	2380407
potential 	128285134	5511905
ro 	128278131	8678660
heard 	128251081	5917723
appeal 	128128877	5171972
daily 	128110661	7157541
issues 	128050689	6139868
edward 	128026496	5791248
过 	128010160	392963
numbers 	128008727	7673564
expenses 	127989451	4369527
vers 	127910973	3797757
1950 	127862035	6079525
все 	127848034	701695
apr 	127846380	2949246
τ 	127814448	221062
includes 	127789441	7035288
sound 	127716289	7208135
mg 	127705693	3380503
123 	127700775	12339202
spirit 	127699644	6066515
double 	127648525	8446426
forest 	127588656	5316626
ir 	127434434	8007420
fully 	127319775	7899523
color 	127206705	5726780
measure 	127192739	7623293
ibid 	127190851	3645927
との 	127172070	511343
error 	127146486	6843644
keine 	127103616	1960059
nations 	126988745	6348092
メ 	126943120	622894
affairs 	126915147	6135630
135 	126866011	12138729
transfer 	126824647	5835797
号 	126734990	852799
male 	126706121	7685129
operating 	126650847	5389063
donc 	126628131	1900933
allowed 	126435936	7409040
vie 	126355454	4934080
otherwise 	126342875	7676872
continue 	126333956	9290388
voir 	126328954	2492058
plans 	126272403	7176815
128 	126255821	12237357
119 	126213215	12191810
lieu 	126026626	4573412
procedure 	125966230	6314362
ν 	125954913	196937
kept 	125947412	7613023
例 	125901056	1133246
european 	125850188	5688321
二十 	125829694	1023108
gross 	125817142	6984920
1956 	125790618	5460390
woman 	125735578	5237332
sono 	125734675	1637528
局 	125608211	1100190
object 	125588738	6702830
job 	125585883	6190877
agriculture 	125581868	5159207
老 	125559414	1123893
diesem 	125532345	1867010
habe 	125516635	2031798
thereof 	125503077	3866231
partie 	125425279	2773046
居 	125262809	1109278
1000 	125236176	7356995
色 	125196402	1139904
1st 	125161060	5053090
jo 	125096335	7628189
uno 	125035736	3520205
松 	124996033	1106864
志 	124926612	1117309
examination 	124782617	6706600
built 	124777907	7010002
thousand 	124772372	6422864
篇 	124630334	970186
acts 	124508788	6468136
branch 	124489820	6599695
ф 	124479495	1072710
なっ 	124307716	480679
131 	124281165	12094291
deep 	124199034	7094710
christian 	124187914	5923997
compared 	124185399	7412924
adopted 	124125516	6801674
facilities 	123985635	5241394
minimum 	123977619	7416902
towards 	123973176	6653722
todos 	123946103	1538032
報 	123814425	837671
jahre 	123780556	2076529
セ 	123706028	614297
railroad 	123662910	3143631
ship 	123618616	6535849
ms 	123585395	6258552
existing 	123557722	6853965
introduction 	123541552	8939626
1955 	123516175	5500149
martin 	123483922	7619459
across 	123460778	7276293
德 	123444220	860664
ミ 	123414828	633267
northern 	123365335	6223231
banks 	123348078	5284844
てき 	123312183	500194
若 	123259453	1114608
voor 	123051824	1060063
round 	122968134	6988283
124 	122935405	12147137
sold 	122901696	6065765
writing 	122882191	6934104
patient 	122789973	4796867
革 	122716062	1055411
ph 	122694290	5014861
railway 	122427258	3498315
tan 	122426078	6320281
fue 	122425508	1702140
127 	122409349	12309218
assistance 	122248609	7215795
なと 	122058759	495771
nom 	121736147	4226001
sure 	121696240	8085311
jour 	121679588	4403849
trans 	121674084	9095693
anos 	121634649	1636668
square 	121591242	6858465
instead 	121502362	7749934
plate 	121491465	5500481
sample 	121416613	4713988
示 	121384440	1116531
ann 	121328187	6023321
米 	121193187	1071303
1996 	121185524	2611888
receive 	121175271	7196189
directly 	121124045	7909622
andere 	121107903	2168584
trois 	121105778	2476363
wahrend 	120911450	1939661
126 	120852347	12181535
official 	120788734	6212684
heavy 	120708119	7177876
proceedings 	120703090	5460667
content 	120638150	7468309
とな 	120606038	509655
edition 	120505045	7204742
winter 	120390043	7407884
tal 	120379728	7149960
つい 	120372683	501375
giving 	120299942	7741815
really 	120292405	6573028
cover 	120154620	7787204
containing 	120033283	6812840
play 	119938495	7213258
ratio 	119918916	5888038
133 	119848143	12066019
follow 	119816710	8155694
doubt 	119766038	6796019
share 	119729328	6857894
dry 	119621723	6366570
ceux 	119610666	2000616
usa 	119602445	4263351
stone 	119557904	6654698
技 	119461057	1048839
129 	119436696	12106724
即 	119416136	1025350
dia 	119316270	5891333
needed 	119247521	7543494
tests 	119243527	5053380
mine 	119230792	8182643
connection 	119142409	6882584
fra 	119110625	3713828
م 	119038777	414801
konnte 	118989500	1806587
teachers 	118903415	4255055
isbn 	118801543	2725281
peter 	118765775	6672320
covered 	118759527	7605510
清 	118747621	1071976
student 	118653127	5880484
令 	118615909	1118329
pr 	118538205	5874391
更 	118505935	1125414
agent 	118467310	6453590
につ 	118402367	501811
executive 	118351859	4717992
glass 	118335078	5874413
classes 	118244539	7583481
象 	118234347	1129074
assembly 	118178484	4747199
また 	118098764	508950
kan 	118046925	2942048
forma 	118042150	5332033
cui 	118040119	2410943
industries 	118030320	4544808
provides 	117928314	6251404
add 	117893372	7527414
則 	117879566	854499
うに 	117817683	489962
powers 	117766812	6042981
結 	117748974	844792
band 	117725356	7304882
ins 	117704936	6361646
rock 	117692380	6172365
animal 	117647933	6880492
置 	117555073	1132612
finally 	117487736	7594239
pure 	117390116	8038152
tot 	117302633	4700100
amendment 	117299561	2843230
master 	117237988	6409820
separate 	117130949	8077035
種 	117073949	857569
assistant 	116965374	5533156
接 	116897546	1127389
chez 	116748503	2620789
benefit 	116723140	6567302
ヲ 	116716581	382925
africa 	116702724	5092274
constitution 	116696866	5662775
かっ 	116682819	482691
clearly 	116601996	7414853
食 	116591987	1129385
住 	116524099	1095795
tra 	116520632	6632038
pages 	116499368	7612391
关 	116463454	492188
なり 	116442410	512715
maria 	116278212	5726252
1954 	116239342	5321354
orders 	116209020	6219791
足 	116194463	1141623
fax 	116181024	1812696
1997 	116165823	2521476
summer 	116165675	6756661
felt 	116092558	6940083
б 	116038593	1191498
status 	115980761	6805937
develop 	115957604	7335132
感 	115916034	1082525
grade 	115857768	6333994
diesen 	115852616	2027790
appointed 	115799970	5309002
台 	115753528	1061115
族 	115751567	1075658
vel 	115728786	3042750
132 	115680114	11949651
ga 	115630118	6761319
wohl 	115624880	2000092
組 	115523539	827404
regular 	115506477	8097457
caused 	115484091	7365844
pe 	115430618	7717197
sp 	115391095	4598821
selected 	115387441	7561060
deal 	115273915	7428881
ei 	115204664	6412583
しか 	115187612	509282
ね 	115072740	579521
hay 	115026488	4789819
cuando 	114980599	1158434
丁 	114850341	1152986
apply 	114801626	6860479
doing 	114801478	7044757
taxes 	114788237	4184821
申 	114785039	1073108
eastern 	114714016	6191888
failure 	114701955	6516215
再 	114652458	1126565
开 	114648256	503338
donne 	114632503	2694948
170 	114623052	11295631
mere 	114554039	7721563
修 	114536454	1142116
الي 	114506298	312306
sion 	114292589	9232543
earlier 	114219674	7442233
transportation 	114137649	4382841
contra 	114068702	4858746
arts 	113999027	6406387
feel 	113986856	6545948
names 	113927796	7081931
showed 	113869187	6636333
ь 	113845532	1069943
standards 	113845259	5759488
sun 	113788693	7028637
today 	113783132	5243040
與 	113778814	606583
右 	113744052	1114531
告 	113734108	1079866
ct 	113725999	5605897
institutions 	113702980	6183014
porque 	113701174	1331269
第一 	113674315	1036306
党 	113655376	788741
ny 	113573719	4413729
item 	113536905	5876328
foot 	113446753	6602782
regulations 	113441806	4671893
施 	113401871	1088739
河 	113342317	1117339
success 	113269973	7130532
police 	113247192	4905521
reduction 	113227032	6437688
friends 	113213106	5808077
obtain 	113162077	7265236
145 	113114686	11723274
dar 	113005303	5467179
花 	112899851	1107099
functions 	112800543	6052805
village 	112781707	5786948
morning 	112770653	5756237
approved 	112765514	5450485
scientific 	112731781	6283516
除 	112730934	1128119
なら 	112633860	498238
revenue 	112621750	4092915
fourth 	112575557	7662324
fed 	112552497	5656027
ways 	112494968	7866263
appropriate 	112488667	6938660
via 	112484417	7348474
dept 	112368133	2964246
prince 	112347578	5384375
francisco 	112347321	5278602
blue 	112333862	6268378
ヘ 	112300051	620581
comes 	112293726	7849820
けて 	112224424	509568
coast 	112221681	5176807
copy 	112149491	6145125
放 	112104816	1110303
led 	112086913	7997252
animals 	111993921	5189756
independent 	111980754	7081614
141 	111951627	11805594
immediately 	111929468	7516945
defense 	111920679	4697520
texas 	111877425	4530431
ol 	111874881	7195591
milk 	111854422	4319741
их 	111818160	771737
155 	111698360	11608520
defined 	111677696	6690068
interests 	111653873	6047762
134 	111611102	11770121
从 	111591801	462153
fu 	111567833	5239829
inches 	111477754	4007370
droit 	111414199	2257545
valley 	111406807	5230059
136 	111231546	11850285
transport 	111219074	6031692
1900 	111200291	6457721
151 	111140249	11575956
practical 	111126966	7075437
過 	111041779	825896
175 	111021832	11408681
144 	111015407	11740510
rd 	110990100	3372510
passage 	110980712	7496115
1953 	110972617	5288784
青 	110920695	1038944
137 	110906126	11889254
estimated 	110905219	5930092
係 	110881738	816933
率 	110805866	1097833
illinois 	110746749	4504159
trees 	110741672	5410185
anche 	110720278	714788
mental 	110717214	7309824
investment 	110705841	4046886
measures 	110680163	6547399
regional 	110672764	5003918
served 	110529980	6996836
personnel 	110489795	4863552
anderen 	110476385	2004667
uma 	110349947	1105127
principles 	110314347	6728948
のは 	110301426	511311
始 	110268239	1134491
lot 	110240801	7778859
positive 	110228586	7736823
write 	110148977	6211223
request 	110135555	6018392
章 	110134968	1116845
看 	110086658	1034414
computer 	110065806	3002649
rural 	110065258	5196859
quantity 	110054005	5947395
friend 	110053763	5425633
entered 	110036107	6648103
reserve 	110003811	6622357
宗 	109935943	1080299
案 	109927739	1074745
allfields:pt 	109833608	1355418
allfieldsProper:pt 	109833607	1355418
只 	109817108	959540
ville 	109775281	4341220
christ 	109707024	4704859
fo 	109699434	6775042
ano 	109691918	4040597
rise 	109682550	7910775
weil 	109648019	2722559
ウ 	109612137	574888
frank 	109610546	6727118
ordinary 	109582325	6444922
allfields:between 	109568771	2704280
allfieldsProper:between 	109568560	2704152
ي 	109553772	365865
forme 	109456695	3516778
中国 	109441396	606796
rose 	109394357	8085870
将 	109378782	961614
anything 	109344028	6228751
summary 	109280687	6530431
big 	109279467	6544349
forth 	109268034	6644531
ため 	109262520	499485
zijn 	109232681	289426
truth 	109222469	5583693
ケ 	109194531	611742
判 	109127843	1100313
treated 	109073330	6977850
ホ 	108970238	604797
138 	108911669	11829042
circumstances 	108822536	6682633
卷 	108812544	868756
1914 	108794390	5315229
cold 	108789175	6441640
relief 	108690374	6735376
causes 	108649838	7879189
とに 	108603682	505187
1998 	108579747	2392054
efforts 	108565571	7836522
amended 	108545707	2968555
educational 	108540702	4676260
mission 	108536705	7356393
internal 	108497162	6282314
pi 	108495673	6914244
weeks 	108484425	6449230
occur 	108374872	7020454
eng 	108369177	5303492
roman 	108362833	6298168
coming 	108350574	7270683
grosse 	108345133	3418809
election 	108318190	4188496
亦 	108289292	800428
serve 	108233288	8855921
minutes 	108232670	6521729
quae 	108226821	1641886
139 	108196865	11746937
concerned 	108165368	7251386
duties 	108145318	5368490
1952 	108100030	5256249
printed 	108095721	8050916
में 	108011839	86271
1951 	107983428	5455058
mes 	107894873	5995824
deren 	107876614	2211683
publication 	107876127	8013283
死 	107871383	1110596
reached 	107826579	7407844
avoir 	107746834	2023861
provision 	107602813	5942903
differences 	107587931	7348174
seinen 	107583300	1944482
session 	107460058	5477309
piece 	107410180	7478115
becomes 	107406633	7312657
ask 	107391777	6287876
noted 	107348254	7243527
subjects 	107337767	6179427
1999 	107325317	2512904
cit 	107277308	4350807
budget 	107237565	4060802
cash 	107237547	4243146
190 	107146545	10889174
leaves 	107134652	6518236
contains 	107132871	7108702
fiscal 	107062509	3607036
mis 	106995628	8147431
sciences 	106943367	6131547
qu'elle 	106915582	1839408
convention 	106862714	4698999
モ 	106822489	591906
carry 	106812938	7512961
ba 	106808535	7165361
experimental 	106521880	4910413
concerning 	106506150	7028691
showing 	106254029	7295771
appeared 	106247064	6891506
step 	106223295	7427730
彼 	106220455	1039295
statistics 	106189926	5046708
pacific 	106028351	4537990
143 	105994226	11605664
根 	105932758	1130109
roi 	105925878	2960887
indicated 	105862681	7128759
asi 	105851260	2373476
speed 	105731999	5667483
害 	105705205	1091710
religious 	105700397	4944650
premier 	105687055	3617558
tanto 	105686572	2391014
rio 	105684773	4878662
neither 	105609769	7404993
pub 	105588002	5688448
charges 	105576678	6096504
move 	105510680	7488169
容 	105471271	1137472
142 	105463234	11589167
benefits 	105414971	5136452
cents 	105356226	4564479
1949 	105344648	5233777
maintenance 	105269558	5436690
beim 	105240503	2037717
loi 	105056682	2817439
注 	104995494	1125318
sig 	104991599	4510928
ind 	104980165	4518323
ware 	104960884	4814625
raised 	104929366	7165724
161 	104876715	11310191
tr 	104866611	5944389
existence 	104813377	7911727
modo 	104804059	2786261
1910 	104801688	5447830
0.0 	104797050	2479777
fois 	104791280	2112279
domestic 	104701009	5679127
increasing 	104622332	7220876
complex 	104622120	6051416
dir 	104608284	3338919
aan 	104601988	1011058
seemed 	104555399	5907005
1920 	104543512	5523076
muy 	104503370	1438645
bay 	104478432	5350660
historical 	104464792	6325614
220 	104427967	10543154
effort 	104425437	8041505
housing 	104323148	3436828
助 	104297678	1119853
ent 	104290758	7392266
まて 	104206383	517368
tambien 	104203978	1172891
turned 	104199754	6785758
われ 	104168986	464923
hearing 	104167357	5030833
remain 	104162244	7802553
jose 	104103028	3659842
cities 	104051840	5647709
courts 	103989862	4784678
己 	103931862	1092625
forward 	103836054	6976870
tt 	103821403	6340909
参 	103810186	1011281
165 	103806748	11406884
ما 	103726431	379670
決 	103720815	787290
thou 	103549779	3815259
supreme 	103486170	5225498
eye 	103472282	6459292
س 	103440725	349511
faut 	103436374	2146061
details 	103376037	8568394
ready 	103354321	7105421
連 	103353914	854189
entirely 	103284997	7247607
easily 	103252666	7398080
202 	103210762	10585508
pounds 	103184486	4446973
johnson 	103177105	5486193
knew 	103160020	5243467
空 	103137788	1139099
152 	103126778	11402730
به 	103120676	393256
左 	103082037	1127069
certainly 	103071348	6561830
recently 	103042259	6946200
meaning 	103019504	6636468
hasta 	102985972	1499619
thirty 	102958021	6519828
senator 	102936473	2487179
applications 	102895585	5349407
initial 	102806312	6445357
rep 	102777260	4660899
allfields:und 	102710871	3214906
allfieldsProper:und 	102710583	3214763
moral 	102709230	6984648
governor 	102685732	4047728
1913 	102683364	5052948
音 	102680273	1103576
је 	102669051	72085
opportunity 	102637315	7031708
なく 	102628712	511607
影 	102619723	1118751
dark 	102569834	5909831
英 	102540413	1101345
yo 	102527720	4407560
estado 	102464962	1572349
147 	102451075	11553619
井 	102433722	1076708
it's 	102428931	3722772
島 	102412942	808180
tree 	102389799	6038297
fuel 	102312285	4076913
principle 	102300741	6338860
のた 	102241496	501598
lb 	102210681	4108865
buildings 	102172342	5295220
quand 	102147853	2034717
discussed 	102127178	6639202
エ 	102114874	591013
i.e 	102113793	5837020
только 	102100986	556232
frequency 	102023361	4130568
fol 	102018408	7063980
hence 	101962095	6286756
153 	101954104	11439200
rs 	101953650	5176790
201 	101937768	10465296
offered 	101936301	6879251
composition 	101907318	6862738
etwas 	101883862	1829099
film 	101872009	4292058
matters 	101833851	6425960
observations 	101821376	6572742
zone 	101812988	5517820
配 	101787900	1104696
superior 	101724044	7391556
1948 	101703853	5215280
ordered 	101702498	5446260
relationship 	101682593	6208202
規 	101633577	821646
virginia 	101629424	4803938
lady 	101613723	4448242
labour 	101579634	3471494
toujours 	101562042	2048222
так 	101530754	733893
لم 	101513203	332945
xii 	101414442	8204069
yield 	101414222	5767029
autre 	101374935	2133809
1939 	101358391	5161082
το 	101355519	202332
laboratory 	101252789	4428477
149 	101248935	11486086
るも 	101238726	518393
instance 	101226838	7176172
才 	101216930	1067682
寺 	101159592	1023844
1,000 	101108844	4790576
telephone 	101099153	4351902
ihnen 	101088841	1803154
限 	101077003	1091629
ق 	101032522	310892
depuis 	101023870	2113555
houses 	100979009	5887173
gran 	100967074	4189425
marine 	100958691	4876454
些 	100908470	685106
medium 	100892905	6810137
策 	100884906	1027947
museum 	100848308	4831246
148 	100825145	11497297
moved 	100703173	6684449
bad 	100620839	7585481
deutschen 	100604172	2379608
majority 	100591177	6572244
とを 	100515985	508660
ее 	100509828	997963
simply 	100485371	6904056
sons 	100458121	7836500
purchase 	100437488	5295488
てす 	100432621	496368
212 	100426109	10313900
было 	100373303	550674
1945 	100370153	5149246
granted 	100341745	5767146
mayor 	100291642	3855584
desde 	100244185	1490006
designed 	100222322	6797174
bridge 	100219165	6035586
br 	100213096	4418859
146 	100167386	11501602
resistance 	100155195	5948194
君 	100135301	1029044
1930 	100066623	5639859
niet 	100051410	512314
accounts 	99998692	6214776
beiden 	99983512	1982478
男 	99930875	1070633
cotton 	99913343	4388244
له 	99889559	346201
156 	99884126	11351525
gar 	99844118	5850329
vote 	99839817	4406079
assets 	99763824	2695935
ability 	99694866	6885851
removed 	99665647	6957084
variety 	99639643	7048883
reasons 	99638442	7506999
understand 	99625904	6794896
mill 	99535273	5484677
諸 	99535126	830985
allfields:coo 	99475090	1271896
allfieldsProper:coo 	99463555	1266092
mail 	99431288	5130076
210 	99417149	10340714
silver 	99407086	5492429
深 	99380466	1113705
circuit 	99355053	3718477
役 	99310209	1061414
questo 	99301363	725937
157 	99300832	11393422
determination 	99300261	6753214
radio 	99282358	4930079
communication 	99176766	7019071
ての 	99173781	512500
154 	99151834	11269392
易 	98984788	1114626
ia 	98909311	7263722
sand 	98715092	6368223
整 	98714497	1093078
highly 	98693018	7329323
1911 	98682733	5211426
hoc 	98654193	3716636
expression 	98630327	7141155
standing 	98628184	7241648
vo 	98620454	6786778
recht 	98556999	2173779
brief 	98552543	8098483
封 	98527485	1087203
ィ 	98504988	605950
版 	98476304	1066056
behind 	98476063	6952884
agents 	98458244	5837546
1912 	98454222	5073817
tem 	98448409	7593821
allow 	98432458	7372428
158 	98421598	11316850
takes 	98412304	7479679
hi 	98378535	8359115
fields 	98349971	6761941
のか 	98301375	508755
alors 	98298654	1785479
把 	98236577	951257
useful 	98207845	7269775
〇 	98191161	503812
かな 	98165262	514502
bond 	98148754	5311900
economy 	98147468	5573632
accepted 	98144577	7032589
style 	98117211	6602138
element 	98082199	8019837
conclusion 	98073681	8244977
merely 	98049495	6547810
1918 	98047909	4873709
171 	97963211	11271927
societe 	97942845	2810976
181 	97927312	11046432
rich 	97914615	7980792
經 	97825362	501966
guide 	97820872	7859946
tant 	97784683	5902673
owner 	97725307	4631967
mer 	97719939	7862678
prevent 	97670171	6868243
key 	97639122	7010658
thy 	97637762	3001672
experiments 	97604308	4469653
introduced 	97540161	6946938
1919 	97536275	4924811
μ 	97505095	213203
attempt 	97463085	7483352
ersten 	97389559	2047946
clerk 	97345046	3490116
191 	97339139	10882149
doit 	97339008	2081455
周 	97319434	1125925
ゆ 	97267682	601899
phys 	97234305	2152540
somewhat 	97217063	7079415
returned 	97156190	6770849
agreed 	97139403	6027295
club 	97136994	5417823
1940 	97120505	5324250
marked 	97118795	7182633
電 	97078915	794607
曰 	97061512	840152
240 	97032849	10132113
济 	96967170	415565
enter 	96951650	7465104
items 	96737164	5318204
philadelphia 	96733164	4532853
approximately 	96730891	5632719
located 	96721049	5839818
dead 	96715481	6255870
faith 	96692525	5203516
legislation 	96670524	4532845
presente 	96634761	3375634
戦 	96621362	637018
female 	96585476	4834053
laid 	96527080	6707510
debt 	96494674	4219202
grossen 	96470183	2014373
159 	96449367	11208692
ァ 	96437364	601015
机 	96436101	787271
suo 	96406340	2164156
fruit 	96365541	5946528
quando 	96287723	1490373
actually 	96270870	7250345
ot 	96239947	7114221
卜 	96223013	859574
output 	96209540	3631570
damit 	96175933	1842593
contained 	96168204	7190550
мы 	96157047	753043
ュ 	96130992	606054
統 	96130052	820404
improvement 	96051496	6116783
sed 	96025907	3549571
争 	96022560	911441
185 	95966800	11061134
firm 	95954995	6378284
elles 	95941851	2122655
師 	95931861	827686
精 	95902754	1123811
essential 	95832627	7092825
characteristics 	95821257	6130081
nuclear 	95816587	2533137
की 	95782421	91277
worth 	95771757	7236609
pu 	95735594	6027473
225 	95709265	10531358
michigan 	95665590	5693876
ward 	95646555	6955313
send 	95624314	6397160
農 	95566346	787857
caso 	95555532	2151198
features 	95536779	6774631
conduct 	95532204	6067522
origin 	95525739	6803089
loan 	95509561	4462117
individuals 	95449655	6183581
1947 	95446876	5060261
عن 	95440726	310943
serious 	95413257	7027587
santa 	95391186	5012008
drawn 	95350629	7480394
lay 	95291755	6975178
broad 	95276732	7236633
arms 	95268287	5679769
manager 	95266786	4161255
職 	95234766	874427
收 	95230979	752375
soll 	95207726	2122744
163 	95186739	11249141
interesting 	95137132	6665776
avenue 	95117789	4714362
2001 	95085561	2524078
proof 	95037950	5976206
168 	95019837	11041366
risk 	95013036	5618172
wish 	94993331	6948939
李 	94957266	965637
162 	94947508	11122811
1917 	94922462	4815346
revolution 	94870833	6007547
popular 	94836435	7244919
n'a 	94817641	2112415
mode 	94787611	7606606
growing 	94745997	7013101
desire 	94735065	7372790
bed 	94704848	6078804
增 	94667450	880025
個 	94629213	782040
ri 	94609123	7364850
location 	94603192	5933743
denen 	94522750	1949877
ぬ 	94459027	577997
167 	94420620	11248664
acres 	94419438	3742287
bound 	94322342	6956580
reasonable 	94321788	6329960
ideas 	94262574	6792262
wind 	94251567	6302280
avant 	94232013	2626791
suite 	94165028	4043534
media 	94130420	5827999
solid 	94094536	6131708
agencies 	94036337	4402748
environmental 	93989447	2986500
qu'ils 	93981822	1795017
teaching 	93970198	4903335
monthly 	93953340	5082463
try 	93945918	7301372
professional 	93941108	5528361
166 	93878182	10989777
behavior 	93854814	3868923
race 	93713056	6650345
うな 	93696658	481384
viel 	93638699	2129918
expressed 	93633126	7182314
