of_the 	13746418027	12700294
in_the 	6622025528	11843083
to_the 	4387010345	11484360
de_la 	2753836129	7680219
and_the 	2670787968	11253674
on_the 	2527168670	11647570
for_the 	2349815287	10957339
by_the 	2134505249	10782662
that_the 	1885184744	9921237
to_be 	1882747498	10414765
it_is 	1750060572	10197487
of_a 	1704943667	10833666
from_the 	1636695919	10982805
with_the 	1625946748	10542063
at_the 	1426706618	10497131
in_a 	1132792976	11452483
1_1 	933436890	11987476
as_a 	929530579	10740144
a_la 	923226855	6107542
the_same 	880294096	9777093
し_して 	855495897	546978
して_て 	855495897	546978
is_a 	851329961	10407260
is_the 	819322981	9899113
of_this 	804865064	9916599
have_been 	796616497	9774366
has_been 	777489749	9669069
it_was 	768780609	9042686
as_the 	763256469	9872000
may_be 	759679891	9801270
with_a 	692704334	9947507
will_be 	674522297	9456852
in_this 	668153860	9832309
0_0 	661963328	6215256
to_a 	659834403	10838644
する_る 	643396077	538149
す_する 	643396077	538149
the_first 	642609397	9877662
てあ_あ 	630643685	517037
て_てあ 	630643685	517037
ある_る 	614792931	527742
あ_ある 	614792931	527742
is_not 	607926942	9521808
new_york 	602668925	9549765
for_a 	601154968	9984971
in_der 	600865697	3249738
of_his 	592336330	7922946
i_i 	585790385	11093940
there_is 	583588981	9253767
and_a 	576383484	9919215
can_be 	569254189	9316837
て_てい 	545691447	517400
てい_い 	545691447	517400
should_be 	537430866	9225784
number_of 	534767927	9316441
one_of 	521715177	9353674
united_states 	516876435	7733502
こ_こと 	514668908	520908
こと_と 	514668908	520908
o_o 	504021604	7985156
and_in 	496246340	9712245
って_て 	496029235	517552
っ_って 	496029235	517552
し_した 	484240352	523373
した_た 	484240352	523373
った_た 	468139433	496451
っ_った 	468139433	496451
by_a 	461916198	9632299
he_was 	461637034	6485066
would_be 	461481049	8750512
part_of 	454315276	9504640
de_los 	453762653	2166831
all_the 	452823668	9094091
から_ら 	446592348	520722
か_から 	446592348	520722
during_the 	429115018	9265468
en_el 	428568930	1734177
which_the 	428091430	9049760
under_the 	420734962	9266973
the_other 	417566153	9226536
1_2 	416817570	11939884
into_the 	414291444	9266771
on_a 	414083477	11064912
in_which 	413552493	9081767
the_united 	412625334	7819739
of_these 	411392400	9336717
な_ない 	407432788	512531
ない_い 	407432788	512531
and_that 	406770243	8660204
and_to 	406052507	9374736
had_been 	404729447	7920491
shall_be 	402923442	5642236
en_la 	395013565	2939717
which_is 	390514956	9118896
